Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
0,0,2020-03-19,0,0,0,0,0,0
1,0,2020-03-20,1,0,0,0,0,0
2,0,2020-03-21,1,0,0,0,0,0
2,0,2020-03-22,0,0,0,0,0,0
2,0,2020-03-23,0,0,0,0,0,0
7,0,2020-03-24,5,0,0,0,0,0
8,0,2020-03-25,1,0,0,0,0,0
11,0,2020-03-26,3,0,0,0,0,0
11,0,2020-03-27,0,0,0,0,0,0
13,0,2020-03-28,2,0,0,0,0,0
16,0,2020-03-29,3,0,0,0,0,0
18,0,2020-03-30,2,0,0,0,0,0
25,0,2020-03-31,7,0,0,0,0,0
27,0,2020-04-01,2,0,0,0,0,0
36,0,2020-04-02,9,0,0,0,0,0
44,1,2020-04-03,8,0,1,0,0,0
56,1,2020-04-04,12,0,0,0,0,0
60,1,2020-04-05,4,0,0,0,0,0
76,1,2020-04-06,16,0,0,0,0,0
78,1,2020-04-07,2,0,0,0,0,0
90,1,2020-04-08,12,0,0,0,0,0
108,2,2020-04-09,18,1,1,0,0,0
112,2,2020-04-10,4,2,0,0,0,0
121,3,2020-04-11,9,3,1,1,0,0
123,3,2020-04-12,2,4,0,2,0,0
134,4,2020-04-13,11,5,1,3,0,0
138,4,2020-04-14,4,6,0,4,0,0
151,4,2020-04-15,13,7,0,5,0,0
156,5,2020-04-16,5,8,1,6,0,0
162,5,2020-04-17,6,9,0,7,0,0
171,5,2020-04-18,9,10,0,8,0,0
174,5,2020-04-19,3,11,0,9,0,0
181,6,2020-04-20,7,12,1,10,0,0
181,6,2020-04-21,0,13,0,11,0,0
183,6,2020-04-22,2,14,0,12,0,0
221,7,2020-04-23,38,15,1,13,0,0
240,8,2020-04-24,19,16,1,14,0,0
247,9,2020-04-25,7,17,1,15,0,0
250,9,2020-04-26,3,18,0,16,0,0
257,10,2020-04-27,7,19,1,17,0,0
261,11,2020-04-28,4,20,1,18,0,0
292,11,2020-04-29,31,21,0,19,0,0
297,11,2020-04-30,5,22,0,20,0,0
320,11,2020-05-01,23,23,0,21,0,0
331,12,2020-05-02,11,24,1,22,0,0
337,12,2020-05-03,6,25,0,23,0,0
344,13,2020-05-04,7,26,1,24,0,0
365,13,2020-05-05,21,27,0,25,0,0
379,13,2020-05-06,14,28,0,26,0,0
417,13,2020-05-07,38,29,0,27,0,0
457,14,2020-05-08,40,30,1,28,0,0
502,16,2020-05-09,45,31,2,29,0,0
519,18,2020-05-10,17,32,2,30,0,0
545,19,2020-05-11,26,33,1,31,0,0
604,19,2020-05-12,59,34,0,32,0,0
604,20,2020-05-13,0,35,1,33,0,0
673,21,2020-05-14,69,36,1,34,0,0
734,24,2020-05-15,61,37,3,35,0,0
792,26,2020-05-16,58,38,2,36,0,0
857,27,2020-05-17,65,39,1,37,0,0
941,30,2020-05-18,84,40,3,38,0,0
941,30,2020-05-19,0,41,0,39,0,0
1005,32,2020-05-20,64,42,2,40,0,0
1090,32,2020-05-21,85,43,0,41,0,0
1187,34,2020-05-22,97,44,2,42,0,0
