Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
1,0,2020-03-01,1,0,0,0,0,0
1,0,2020-03-02,0,0,0,0,0,0
1,0,2020-03-03,0,0,0,0,0,0
2,0,2020-03-04,1,0,0,0,0,0
3,0,2020-03-05,1,0,0,0,0,0
3,0,2020-03-06,0,0,0,0,0,0
4,0,2020-03-07,1,0,0,0,0,0
4,0,2020-03-08,0,0,0,0,0,0
4,0,2020-03-09,0,0,0,0,0,0
4,0,2020-03-10,0,0,0,0,0,0
21,0,2020-03-11,17,0,0,0,0,0
38,0,2020-03-12,17,0,0,0,0,0
42,0,2020-03-13,4,0,0,0,0,0
50,0,2020-03-14,8,0,0,0,0,0
53,0,2020-03-15,3,0,0,0,0,0
56,0,2020-03-16,3,0,0,0,0,0
57,0,2020-03-17,1,0,0,0,0,0
69,0,2020-03-18,12,0,0,0,0,0
80,0,2020-03-19,11,0,0,0,0,0
121,0,2020-03-20,41,1,0,0,0,0
142,0,2020-03-21,21,2,0,0,0,0
165,0,2020-03-22,23,3,0,0,0,0
170,0,2020-03-23,5,4,0,0,0,0
183,0,2020-03-24,13,5,0,0,0,0
200,0,2020-03-25,17,6,0,0,0,0
211,1,2020-03-26,11,7,1,0,0,0
241,1,2020-03-27,30,8,0,0,0,0
260,2,2020-03-28,19,9,1,0,0,0
275,2,2020-03-29,15,10,0,0,0,0
286,2,2020-03-30,11,11,0,0,0,0
294,4,2020-03-31,8,12,2,1,0,0
311,5,2020-04-01,17,13,1,2,0,0
327,6,2020-04-02,16,14,1,3,0,0
341,6,2020-04-03,14,15,0,4,0,0
354,6,2020-04-04,13,16,0,5,0,0
394,6,2020-04-05,40,17,0,6,0,0
397,8,2020-04-06,3,18,2,7,0,0
399,9,2020-04-07,2,19,1,8,0,0
424,10,2020-04-08,25,20,1,9,0,0
445,11,2020-04-09,21,21,1,10,0,0
454,13,2020-04-10,9,22,2,11,0,0
469,15,2020-04-11,15,23,2,12,0,0
480,15,2020-04-12,11,24,0,13,0,0
486,17,2020-04-13,6,25,2,14,0,0
492,20,2020-04-14,6,26,3,15,0,0
500,21,2020-04-15,8,27,1,16,0,0
507,21,2020-04-16,7,28,0,17,0,0
556,22,2020-04-17,49,29,1,18,0,0
567,24,2020-04-18,11,30,2,19,0,0
585,25,2020-04-19,18,31,1,20,0,0
604,25,2020-04-20,19,32,0,21,0,0
609,25,2020-04-21,5,33,0,22,0,0
624,26,2020-04-22,15,34,1,23,0,0
672,27,2020-04-23,48,35,1,24,0,0
707,27,2020-04-24,35,36,0,25,0,0
719,27,2020-04-25,12,37,0,26,0,0
739,27,2020-04-26,20,38,0,27,0,0
754,27,2020-04-27,15,39,0,28,0,0
759,27,2020-04-28,5,40,0,29,0,0
797,29,2020-04-29,38,41,2,30,0,0
827,29,2020-04-30,30,42,0,31,0,0
859,30,2020-05-01,32,43,1,32,0,0
871,30,2020-05-02,12,44,0,33,0,0
875,30,2020-05-03,4,45,0,34,0,0
893,30,2020-05-04,18,46,0,35,0,0
895,31,2020-05-05,2,47,1,36,0,0
916,31,2020-05-06,21,48,0,37,0,0
963,32,2020-05-07,47,49,1,38,0,0
997,32,2020-05-08,34,50,0,39,0,0
1024,32,2020-05-09,27,51,0,40,0,0
1043,32,2020-05-10,19,52,0,41,0,0
1055,34,2020-05-11,12,53,2,42,0,0
1058,35,2020-05-12,3,54,1,43,0,0
1077,36,2020-05-13,19,55,1,44,0,0
1104,37,2020-05-14,27,56,1,45,0,0
1129,37,2020-05-15,25,57,0,46,0,0
1150,37,2020-05-16,21,58,0,47,0,0
1164,37,2020-05-17,14,59,0,48,0,0
1171,38,2020-05-18,7,60,1,49,0,0
1237,38,2020-05-19,66,61,0,50,0,0
1256,38,2020-05-20,19,62,0,51,0,0
1273,39,2020-05-21,17,63,1,52,0,0
1291,39,2020-05-22,18,64,0,53,0,0
1296,41,2020-05-23,5,65,2,54,0,0
1299,41,2020-05-24,3,66,0,55,0,0
1312,41,2020-05-25,13,67,0,56,0,0
1313,42,2020-05-26,1,68,1,57,0,0
1322,42,2020-05-27,9,69,0,58,0,0
1348,41,2020-05-28,26,70,-1,59,0,0
1372,41,2020-05-29,24,71,0,60,0,0
1398,42,2020-05-30,26,72,1,61,0,0
1398,42,2020-05-31,0,73,0,62,0,0
1398,42,2020-06-01,0,74,0,63,0,0
1436,42,2020-06-02,38,75,0,64,0,0
1447,43,2020-06-03,11,76,1,65,0,0
1462,44,2020-06-04,15,77,1,66,0,0
1498,44,2020-06-05,36,78,0,67,0,0
1513,44,2020-06-06,15,79,0,68,0,0
1517,44,2020-06-07,4,80,0,69,0,0
1531,44,2020-06-08,14,81,0,70,0,0
1532,43,2020-06-09,1,82,-1,71,0,0
1547,43,2020-06-10,15,83,0,72,0,0
1565,43,2020-06-11,18,84,0,73,0,0
1573,45,2020-06-12,8,85,2,74,0,0
1581,45,2020-06-13,8,86,0,75,0,0
1589,46,2020-06-14,8,87,1,76,0,0
1592,48,2020-06-15,3,88,2,77,0,0
1593,48,2020-06-16,1,89,0,78,0,0
1607,49,2020-06-17,14,90,1,79,0,0
1619,49,2020-06-18,12,91,0,80,0,0
1626,49,2020-06-19,7,92,0,81,0,0
1636,49,2020-06-20,10,93,0,82,0,0
1645,49,2020-06-21,9,94,0,83,0,0
1648,49,2020-06-22,3,95,0,84,0,0
1654,49,2020-06-23,6,96,0,85,0,0
1653,49,2020-06-24,-1,97,0,86,0,0
1653,49,2020-06-25,0,98,0,87,0,0
1658,49,2020-06-26,5,99,0,88,0,0
1659,50,2020-06-27,1,100,1,89,0,0
1661,50,2020-06-28,2,101,0,90,0,0
1661,50,2020-06-29,0,102,0,91,0,0
1662,53,2020-06-30,1,103,3,92,0,0
1667,53,2020-07-01,5,104,0,93,0,0
1670,53,2020-07-02,3,105,0,94,0,0
1675,53,2020-07-03,5,106,0,95,0,0
1675,53,2020-07-04,0,107,0,96,0,0
1678,53,2020-07-05,3,108,0,97,0,0
1679,54,2020-07-06,1,109,1,98,0,0
1679,54,2020-07-07,0,110,0,99,0,0
1679,54,2020-07-08,0,111,0,100,0,0
1684,54,2020-07-09,5,112,0,101,0,0
1688,54,2020-07-10,4,113,0,102,0,0
1689,55,2020-07-11,1,114,1,103,0,0
1689,55,2020-07-12,0,115,0,104,0,0
1690,55,2020-07-13,1,116,0,105,0,0
1691,55,2020-07-14,1,117,0,106,0,0
1691,55,2020-07-15,0,118,0,107,0,0
1697,55,2020-07-16,6,119,0,108,0,0
1701,55,2020-07-17,4,120,0,109,0,0
