Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
1,0,2020-03-03,1,0,0,0,0,0
1,0,2020-03-04,0,0,0,0,0,0
1,0,2020-03-05,0,0,0,0,0,0
1,0,2020-03-06,0,0,0,0,0,0
2,0,2020-03-07,1,0,0,0,0,0
2,0,2020-03-08,0,0,0,0,0,0
6,0,2020-03-09,4,0,0,0,0,0
9,0,2020-03-10,3,0,0,0,0,0
24,0,2020-03-11,15,0,0,0,0,0
30,0,2020-03-12,6,0,0,0,0,0
44,0,2020-03-13,14,0,0,0,0,0
61,0,2020-03-14,17,0,0,0,0,0
84,0,2020-03-15,23,0,0,0,0,0
94,0,2020-03-16,10,0,0,0,0,0
73,0,2020-03-17,-21,0,0,0,0,0
92,0,2020-03-18,19,0,0,0,0,0
134,0,2020-03-19,42,1,0,0,0,0
192,0,2020-03-20,58,2,0,0,0,0
254,0,2020-03-21,62,3,0,0,0,0
274,0,2020-03-22,20,4,0,0,0,0
288,0,2020-03-23,14,5,0,0,0,0
343,0,2020-03-24,55,6,0,0,0,0
429,1,2020-03-25,86,7,1,0,0,0
477,1,2020-03-26,48,8,0,0,0,0
537,1,2020-03-27,60,9,0,0,0,0
645,1,2020-03-28,108,10,0,0,0,0
721,1,2020-03-29,76,11,0,0,0,0
761,2,2020-03-30,40,12,1,0,0,0
798,2,2020-03-31,37,13,0,0,0,0
881,4,2020-04-01,83,14,2,1,0,0
995,7,2020-04-02,114,15,3,2,0,0
1075,9,2020-04-03,80,16,2,3,0,0
1211,12,2020-04-04,136,17,3,4,0,0
1305,17,2020-04-05,94,18,5,5,0,0
1345,19,2020-04-06,40,19,2,6,0,0
1384,20,2020-04-07,39,20,1,7,0,0
1472,22,2020-04-08,88,21,2,8,0,0
1578,30,2020-04-09,106,22,8,9,0,0
1691,37,2020-04-10,113,23,7,10,0,0
1764,37,2020-04-11,73,24,0,11,0,0
1857,38,2020-04-12,93,25,1,12,0,0
1880,38,2020-04-13,23,26,0,13,0,0
1916,40,2020-04-14,36,27,2,14,0,0
1950,42,2020-04-15,34,28,2,15,0,0
2058,54,2020-04-16,108,29,12,16,0,0
2120,60,2020-04-17,62,30,6,17,0,0
2161,62,2020-04-18,41,31,2,18,0,0
2221,66,2020-04-19,60,32,4,19,0,0
2238,66,2020-04-20,17,33,0,20,0,0
2275,67,2020-04-21,37,34,1,21,0,0
2389,74,2020-04-22,114,35,7,22,0,0
2447,84,2020-04-23,58,36,10,23,0,0
2536,90,2020-04-24,89,37,6,24,0,0
2627,97,2020-04-25,91,38,7,25,0,0
2694,100,2020-04-26,67,39,3,26,0,0
2721,100,2020-04-27,27,40,0,27,0,0
2747,106,2020-04-28,26,41,6,28,0,0
2768,109,2020-04-29,21,42,3,29,0,0
2831,113,2020-04-30,63,43,4,30,0,0
2872,120,2020-05-01,41,44,7,31,0,0
2886,122,2020-05-02,14,45,2,32,0,0
2905,122,2020-05-03,19,46,0,33,0,0
2914,122,2020-05-04,9,47,0,34,0,0
2940,123,2020-05-05,26,48,1,35,0,0
2969,127,2020-05-06,29,49,4,36,0,0
2999,129,2020-05-07,30,50,2,37,0,0
3037,131,2020-05-08,38,51,2,38,0,0
3098,133,2020-05-09,61,52,2,39,0,0
3101,134,2020-05-10,3,53,1,40,0,0
3106,134,2020-05-11,5,54,0,41,0,0
3111,136,2020-05-12,5,55,2,42,0,0
3125,137,2020-05-13,14,56,1,43,0,0
3135,138,2020-05-14,10,57,1,44,0,0
3158,148,2020-05-15,23,58,10,45,0,0
3169,149,2020-05-16,11,59,1,46,0,0
3171,149,2020-05-17,2,60,0,47,0,0
3172,149,2020-05-18,1,61,0,48,0,0
3185,150,2020-05-19,13,62,1,49,0,0
3193,151,2020-05-20,8,63,1,50,0,0
3205,151,2020-05-21,12,64,0,51,0,0
3211,152,2020-05-22,6,65,1,52,0,0
3213,154,2020-05-23,2,66,2,53,0,0
3214,154,2020-05-24,1,67,0,54,0,0
3214,154,2020-05-25,0,68,0,55,0,0
3236,154,2020-05-26,22,69,0,56,0,0
3246,154,2020-05-27,10,70,0,57,0,0
3261,155,2020-05-28,15,71,1,58,0,0
3271,155,2020-05-29,10,72,0,59,0,0
3266,155,2020-05-30,-5,73,0,60,0,0
3271,155,2020-05-31,5,74,0,61,0,0
3273,155,2020-06-01,2,75,0,62,0,0
3274,155,2020-06-02,1,76,0,63,0,0
3273,156,2020-06-03,-1,77,1,64,0,0
3280,156,2020-06-04,7,78,0,65,0,0
3288,156,2020-06-05,8,79,0,66,0,0
3294,158,2020-06-06,6,80,2,67,0,0
3297,158,2020-06-07,3,81,0,68,0,0
3304,160,2020-06-08,7,82,2,69,0,0
3302,160,2020-06-09,-2,83,0,70,0,0
3309,160,2020-06-10,7,84,0,71,0,0
3352,161,2020-06-11,43,85,1,72,0,0
3306,161,2020-06-12,-46,86,0,73,0,0
3326,163,2020-06-13,20,87,2,74,0,0
3326,163,2020-06-14,0,88,0,75,0,0
3329,163,2020-06-15,3,89,0,76,0,0
3334,163,2020-06-16,5,90,0,77,0,0
3362,163,2020-06-17,28,91,0,78,0,0
3365,163,2020-06-18,3,92,0,79,0,0
3374,163,2020-06-19,9,93,0,80,0,0
3383,163,2020-06-20,9,94,0,81,0,0
3388,163,2020-06-21,5,95,0,82,0,0
3394,163,2020-06-22,6,96,0,83,0,0
3407,164,2020-06-23,13,97,1,84,0,0
3413,164,2020-06-24,6,98,0,85,0,0
3428,165,2020-06-25,15,99,1,86,0,0
3437,165,2020-06-26,9,100,0,87,0,0
3437,165,2020-06-27,0,101,0,88,0,0
3417,165,2020-06-28,-20,102,0,89,0,0
3419,165,2020-06-29,2,103,0,90,0,0
3429,165,2020-06-30,10,104,0,91,0,0
3440,165,2020-07-01,11,105,0,92,0,0
3443,165,2020-07-02,3,106,0,93,0,0
3450,166,2020-07-03,7,107,1,94,0,0
3459,167,2020-07-04,9,108,1,95,0,0
3460,167,2020-07-05,1,109,0,96,0,0
3464,168,2020-07-06,4,110,1,97,0,0
3468,168,2020-07-07,4,111,0,98,0,0
3476,168,2020-07-08,8,112,0,99,0,0
3483,168,2020-07-09,7,113,0,100,0,0
3452,168,2020-07-10,-31,114,0,101,0,0
3459,168,2020-07-11,7,115,0,102,0,0
3462,168,2020-07-12,3,116,0,103,0,0
3462,168,2020-07-13,0,117,0,104,0,0
3462,167,2020-07-14,0,118,-1,105,0,0
3465,167,2020-07-15,3,119,0,106,0,0
3466,167,2020-07-16,1,120,0,107,0,0
3470,167,2020-07-17,4,121,0,108,0,0
3476,167,2020-07-18,6,122,0,109,0,0
3476,167,2020-07-19,0,123,0,110,0,0
3483,167,2020-07-20,7,124,0,111,0,0
3485,167,2020-07-21,2,125,0,112,0,0
3497,167,2020-07-22,12,126,0,113,0,0
3510,167,2020-07-23,13,127,0,114,0,0
3523,168,2020-07-24,13,128,1,115,0,0
3524,168,2020-07-25,1,129,0,116,0,0
3524,168,2020-07-26,0,130,0,117,0,0
3524,168,2020-07-27,0,131,0,118,0,0
3527,168,2020-07-28,3,132,0,119,0,0
3531,168,2020-07-29,4,133,0,120,0,0
3531,168,2020-07-30,0,134,0,121,0,0
3560,168,2020-07-31,29,135,0,122,0,0
3565,168,2020-08-01,5,136,0,123,0,0
3565,168,2020-08-02,0,137,0,124,0,0
3573,168,2020-08-03,8,138,0,125,0,0
3579,168,2020-08-04,6,139,0,126,0,0
