Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
0,0,2020-03-19,0,0,0,0,0,0
0,0,2020-03-20,0,0,0,0,0,0
0,0,2020-03-21,0,0,0,0,0,0
2,0,2020-03-22,2,0,0,0,0,0
2,0,2020-03-23,0,0,0,0,0,0
2,0,2020-03-24,0,0,0,0,0,0
8,0,2020-03-25,6,0,0,0,0,0
8,0,2020-03-26,0,0,0,0,0,0
10,0,2020-03-27,2,0,0,0,0,0
12,0,2020-03-28,2,0,0,0,0,0
16,0,2020-03-29,4,0,0,0,0,0
16,0,2020-03-30,0,0,0,0,0,0
16,0,2020-03-31,0,0,0,0,0,0
22,0,2020-04-01,6,0,0,0,0,0
26,0,2020-04-02,4,0,0,0,0,0
30,0,2020-04-03,4,0,0,0,0,0
37,1,2020-04-04,7,0,1,0,0,0
42,1,2020-04-05,5,0,0,0,0,0
42,1,2020-04-06,0,0,0,0,0,0
42,1,2020-04-07,0,0,0,0,0,0
49,1,2020-04-08,7,0,0,0,0,0
52,1,2020-04-09,3,0,0,0,0,0
63,3,2020-04-10,11,0,2,1,0,0
75,3,2020-04-11,12,0,0,2,0,0
79,3,2020-04-12,4,0,0,3,0,0
83,3,2020-04-13,4,0,0,4,0,0
113,3,2020-04-14,30,1,0,5,0,0
114,3,2020-04-15,1,2,0,6,0,0
142,3,2020-04-16,28,3,0,7,0,0
164,3,2020-04-17,22,4,0,8,0,0
201,3,2020-04-18,37,5,0,9,0,0
222,3,2020-04-19,21,6,0,10,0,0
244,3,2020-04-20,22,7,0,11,0,0
247,3,2020-04-21,3,8,0,12,0,0
280,3,2020-04-22,33,9,0,13,0,0
297,3,2020-04-23,17,10,0,14,0,0
304,3,2020-04-24,7,11,0,15,0,0
345,3,2020-04-25,41,12,0,16,0,0
401,4,2020-04-26,56,13,1,17,0,0
407,4,2020-04-27,6,14,0,18,0,0
425,6,2020-04-28,18,15,2,19,0,0
452,6,2020-04-29,27,16,0,20,0,0
519,7,2020-04-30,67,17,1,21,0,0
602,8,2020-05-01,83,18,1,22,0,0
668,9,2020-05-02,66,19,1,23,0,0
740,11,2020-05-03,72,20,2,24,0,0
806,11,2020-05-04,66,21,0,25,0,0
869,11,2020-05-05,63,22,0,26,0,0
932,13,2020-05-06,63,23,2,27,0,0
1020,14,2020-05-07,88,24,1,28,0,0
1124,16,2020-05-08,104,25,2,29,0,0
1202,18,2020-05-09,78,26,2,30,0,0
1290,21,2020-05-10,88,27,3,31,0,0
1295,24,2020-05-11,5,28,3,32,0,0
1328,27,2020-05-12,33,29,3,33,0,0
1411,28,2020-05-13,83,30,1,34,0,0
1493,31,2020-05-14,82,31,3,35,0,0
1587,38,2020-05-15,94,32,7,36,0,0
1701,49,2020-05-16,114,33,11,37,0,0
1788,49,2020-05-17,87,34,0,38,0,0
1876,60,2020-05-18,88,35,11,39,0,0
1984,60,2020-05-19,108,36,0,40,0,0
2067,64,2020-05-20,83,37,4,41,0,0
2147,72,2020-05-21,80,38,8,42,0,0
2306,83,2020-05-22,159,39,11,43,0,0
2306,83,2020-05-23,0,40,0,44,0,0
2439,84,2020-05-24,133,41,1,45,0,0
2514,86,2020-05-25,75,42,2,46,0,0
2514,86,2020-05-26,0,43,0,47,0,0
